Kecamatan,Lat,Lng
Andir,-6.9114,107.5771
Astana Anyar,-6.9299,107.5993
Antapani,-6.9186,107.66
Arcamanik,-6.9179,107.6778
Babakan Ciparay,-6.9423,107.5771
Bandung Kidul,-6.9558,107.6304
Bandung Kulon,-6.9376,107.5653
Bandung Wetan,-6.9047,107.6186
Batununggal,-6.9195,107.6363
Bojongloa Kaler,-6.9316,107.589
Bojongloa Kidul,-6.952,107.5949
Buahbatu,-6.9524,107.6511
Cibeunying Kaler,-6.8937,107.6363
Cibeunying Kidul,-6.8984,107.6482
Cibiru,-6.9163,107.7192
Cicendo,-6.9009,107.5831
Cidadap,-6.864,107.6067
Cinambo,-6.9329,107.6896
Coblong,-6.892,107.6156
Gedebage,-6.9506,107.6985
Kiaracondong,-6.9242,107.6482
Lengkong,-6.9327,107.6275
Mandalajati,-6.8975,107.6718
Panyileukan,-6.9322,107.7074
Rancasari,-6.9539,107.6778
Regol,-6.941,107.6127
Sukajadi,-6.8904,107.589
Sukasari,-6.8647,107.589
Sumur Bandung,-6.9152,107.6127
Ujungberung,-6.9065,107.7074
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
